127.0.0.1 - - [07/Jul/2026:19:06:37 +0000] "GET / HTTP/1.1" 200 29 "-" "curl/8.18.0"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET / HTTP/1.1" 200 449 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/index-DLk81kas.js HTTP/1.1" 200 478705 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/index-Crc3CM20.css HTTP/1.1" 200 46298 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/logo-Beh-K7in.png HTTP/1.1" 200 49697 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/hero-CQkIgkSi.png HTTP/1.1" 200 555103 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/family-BRglgthf.png HTTP/1.1" 200 186427 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/glass_filling-DguWaYRs.png HTTP/1.1" 200 613127 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/aquaguard_logo-DXJMJLSS.png HTTP/1.1" 200 6476 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/kent_logo-CwIoHZ54.jpg HTTP/1.1" 200 16364 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/livepure_logo-Bcfi7q-X.webp HTTP/1.1" 200 43154 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /assets/pureIt_logo-DV7FEDpe.jpg HTTP/1.1" 200 25209 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:15:05 +0000] "GET /logo.png HTTP/1.1" 200 49697 "http://coolsite.localhost:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
127.0.0.1 - - [07/Jul/2026:19:16:40 +0000] "GET /sites/my-nginx-site/ HTTP/1.1" 404 153 "-" "curl/8.18.0"
127.0.0.1 - - [07/Jul/2026:19:17:19 +0000] "GET /sites/my-nginx-site/active/ HTTP/1.1" 200 29 "-" "curl/8.18.0"
127.0.0.1 - - [28/Jul/2026:19:11:18 +0000] "GET / HTTP/1.1" 200 449 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
